descripcion,categoria
Una escultura autodidáctico para estudiantes,Derecho de autor
Una software sobre cocina tradicional,Derecho de autor
Una coreografí­a sobre arquitectura colonial,Derecho de autor
Una obra de teatro sobre cocina tradicional,Derecho de autor
Una obra arquitectónica sobre programación en Python,Derecho de autor
Una poema sobre la guerra del Pací­fico,Derecho de autor
Una software sobre inteligencia artificial,Derecho de autor
Una audiolibro sobre inteligencia artificial,Derecho de autor
Una pintura sobre mitologí­a incaica,Derecho de autor
Una documental para educación ambiental,Derecho de autor
Una software basado en hechos reales,Derecho de autor
Una software para aprender matemáticas,Derecho de autor
Una pintura para educación ambiental,Derecho de autor
Una tesis para entrenamiento deportivo,Derecho de autor
Una libro sobre mitologí­a incaica,Derecho de autor
Una software autodidáctico para estudiantes,Derecho de autor
Una ensayo sobre programación en Python,Derecho de autor
Una cuento para enseñanza primaria,Derecho de autor
Una guion cinematográfico sobre danza folclórica,Derecho de autor
Una documental para enseñanza primaria,Derecho de autor
Una videojuego para educación ambiental,Derecho de autor
Una tesis basado en hechos reales,Derecho de autor
Una obra de teatro basado en hechos reales,Derecho de autor
Una dibujo sobre inteligencia artificial,Derecho de autor
Una poema sobre la guerra del Pací­fico,Derecho de autor
Una tesis sobre danza folclórica,Derecho de autor
Una audiolibro para enseñanza primaria,Derecho de autor
Una coreografí­a sobre arquitectura colonial,Derecho de autor
Una dibujo para entrenamiento deportivo,Derecho de autor
Una libro sobre derechos humanos,Derecho de autor
Una obra arquitectónica sobre programación en Python,Derecho de autor
Una obra arquitectónica sobre la historia del Perú,Derecho de autor
Una videojuego sobre la guerra del Pací­fico,Derecho de autor
Una escultura sobre mitologí­a incaica,Derecho de autor
Una tesis sobre inteligencia artificial,Derecho de autor
Una pintura sobre mitologí­a incaica,Derecho de autor
Una coreografí­a sobre conflictos sociales,Derecho de autor
Una escultura sobre la guerra del Pací­fico,Derecho de autor
Una tesis sobre biodiversidad amazónica,Derecho de autor
